Games,pass_completion,pass_attempts,pass_completion_percent,pass_yards,pass_td,rush_attempt,rush_yards,avg_rush_yard,rush_td,num_plays,total_yard,yard_per_play,pass_first_down,rush_first_down,penalty_first,first_downs,penalty,penalty_yards,lost_fumble,interceptions,turnovers,SRS,SOS,de_pass_completion,de_pass_attempts,de_pass_completion_percent,de_pass_yards,de_pass_td,de_rush_attempt,de_rush_yards,de_avg_rush_yard,de_rush_td,de_num_plays,de_total_yard,de_yard_per_play,de_pass_first_down,de_rush_first_down,de_penalty_first,de_first_downs,de_penalty,de_penalty_yards,de_lost_fumble,de_interceptions,de_turnovers,team_name
7,3.4,4.7,72.7,88.4,0.7,57.9,306.0,5.3,3.4,62.6,394.4,6.3,2.9,16.9,1.1,20.9,3.0,25.3,0.7,0.0,0.7,11.59,-5.27,16.1,26.7,60.4,154.3,1.3,28.4,69.1,2.4,0.6,55.1,223.4,4.1,7.0,5.6,1.0,13.6,4.9,37.1,0.4,0.7,1.1,air-force
8,21.6,35.4,61.1,188.9,0.8,29.1,91.1,3.1,0.9,64.5,280.0,4.3,7.6,7.8,1.1,16.5,7.3,58.6,0.8,1.5,2.3,-19.3,-7.68,15.5,28.9,53.7,193.3,1.8,35.8,147.9,4.1,1.9,64.6,341.1,5.3,8.4,7.0,1.9,17.3,4.9,46.1,0.5,0.8,1.3,akron
8,14.1,22.9,61.7,219.5,1.6,39.4,147.1,3.7,1.6,62.3,366.6,5.9,8.5,8.5,1.6,18.6,6.1,49.1,0.4,0.6,1.0,18.52,6.9,19.3,31.8,60.6,197.6,1.3,35.3,108.8,3.1,0.5,67.0,306.4,4.6,8.3,7.0,1.4,16.6,5.4,42.0,0.4,0.9,1.3,alabama
7,20.9,34.0,61.3,265.0,2.4,40.1,179.6,4.5,1.3,74.1,444.6,6.0,13.0,9.0,2.1,24.1,4.6,39.3,0.7,0.7,1.4,-0.58,-2.72,18.6,29.1,63.7,207.1,1.1,36.1,193.1,5.3,2.3,65.3,400.3,6.1,8.6,9.9,0.9,19.3,7.3,71.1,0.3,1.0,1.3,appalachian-state
7,26.0,36.0,72.2,287.6,2.4,33.0,164.7,5.0,1.4,69.0,452.3,6.6,13.0,9.7,2.0,24.7,7.4,61.4,0.4,1.0,1.4,8.04,0.19,19.1,30.1,63.5,236.9,0.7,31.6,96.0,3.0,1.9,61.7,332.9,5.4,10.0,4.9,3.1,18.0,8.1,74.0,0.9,0.3,1.1,arizona
7,22.7,39.4,57.6,249.6,0.9,30.9,93.7,3.0,1.1,70.3,343.3,4.9,10.0,7.0,1.7,18.7,5.6,53.6,0.7,1.3,2.0,-5.96,3.33,21.1,34.7,60.9,225.3,1.4,30.9,106.7,3.5,1.1,65.6,332.0,5.1,9.9,6.6,1.9,18.3,8.0,62.6,0.4,0.3,0.7,arizona-state
8,18.1,27.6,65.6,196.9,1.9,37.3,109.0,2.9,0.8,64.9,305.9,4.7,8.4,7.5,1.4,17.3,6.6,57.1,0.3,0.9,1.1,3.48,3.6,15.1,24.8,61.1,201.4,1.6,36.0,131.6,3.7,0.8,60.8,333.0,5.5,8.5,7.1,2.3,17.9,5.5,42.9,0.5,1.0,1.5,arkansas
7,15.9,28.4,55.8,220.6,1.7,34.1,140.7,4.1,0.9,62.6,361.3,5.8,9.7,7.1,1.7,18.6,6.4,62.1,0.4,0.7,1.1,-3.67,0.19,22.6,31.4,71.8,264.6,1.7,38.6,191.9,5.0,2.3,70.0,456.4,6.5,10.0,9.1,2.3,21.4,6.6,61.7,0.3,0.4,0.7,arkansas-state
7,8.4,16.0,52.7,129.0,0.9,47.3,188.4,4.0,1.6,63.3,317.4,5.0,4.9,10.9,0.9,16.6,2.9,23.0,1.3,1.1,2.4,-4.97,0.46,15.0,25.0,60.0,202.3,1.4,36.9,179.3,4.9,1.7,61.9,381.6,6.2,8.0,8.7,0.7,17.4,5.3,42.1,0.6,0.6,1.1,army
7,14.0,23.6,59.4,151.0,1.0,40.3,186.0,4.6,2.1,63.9,337.0,5.3,5.9,10.4,1.4,17.7,5.6,44.1,0.6,0.9,1.4,3.38,3.38,17.4,28.1,61.9,214.0,1.3,36.1,157.7,4.4,1.7,64.3,371.7,5.8,8.6,8.3,0.7,17.6,6.7,52.7,0.6,1.3,1.9,auburn
8,16.9,28.0,60.3,159.9,0.9,34.4,135.1,3.9,0.9,62.4,295.0,4.7,7.8,7.5,2.1,17.4,5.6,49.5,0.6,0.9,1.5,-13.52,-3.52,20.4,32.5,62.7,236.9,1.8,32.8,123.3,3.8,1.4,65.3,360.1,5.5,10.9,7.4,2.4,20.6,5.6,49.3,0.4,0.4,0.8,ball-state
7,21.3,38.0,56.0,284.7,0.9,34.4,115.6,3.4,1.1,72.4,400.3,5.5,12.0,7.1,1.1,20.3,4.3,25.9,0.6,0.6,1.1,-1.17,2.98,15.7,25.4,61.8,199.3,1.6,38.4,199.1,5.2,2.3,63.9,398.4,6.2,9.1,9.3,0.4,18.9,4.7,44.1,1.0,0.6,1.6,baylor
7,17.3,30.7,56.3,234.6,1.4,37.1,190.9,5.1,2.3,67.9,425.4,6.3,10.0,10.3,1.6,21.9,4.3,36.9,0.9,1.0,1.9,-1.45,-0.59,22.0,34.3,64.2,304.3,1.9,30.9,124.0,4.0,2.0,65.1,428.3,6.6,11.7,7.3,1.1,20.1,5.7,46.3,0.6,0.6,1.1,boise-state
7,16.0,28.6,56.0,208.3,1.4,42.3,210.0,5.0,2.1,70.9,418.3,5.9,7.9,11.7,2.1,21.7,8.3,72.1,0.3,0.9,1.1,-0.15,0.13,14.7,24.0,61.3,209.7,1.9,37.0,174.9,4.7,2.3,61.0,384.6,6.3,9.7,7.9,2.0,19.6,6.6,54.9,0.7,0.6,1.3,boston-college
